month,sightings,id
2014-05-31T00:00:00,134.0,1
2014-04-30T00:00:00,620.0,2
2014-03-31T00:00:00,499.0,3
2014-02-28T00:00:00,528.0,4
2014-01-31T00:00:00,700.0,5
2013-12-31T00:00:00,748.0,6
2013-11-30T00:00:00,802.0,7
2013-10-31T00:00:00,783.0,8
2013-09-30T00:00:00,781.0,9
2013-08-31T00:00:00,900.0,10
2013-07-31T00:00:00,965.0,11
2013-06-30T00:00:00,626.0,12
2013-05-31T00:00:00,527.0,13
2013-04-30T00:00:00,423.0,14
2013-03-31T00:00:00,399.0,15
2013-02-28T00:00:00,282.0,16
2013-01-31T00:00:00,391.0,17
2012-12-31T00:00:00,666.0,18
2012-11-30T00:00:00,774.0,19
2012-10-31T00:00:00,669.0,20
2012-09-30T00:00:00,757.0,21
2012-08-31T00:00:00,892.0,22
2012-07-31T00:00:00,928.0,23
2012-06-30T00:00:00,750.0,24
2012-05-31T00:00:00,515.0,25
2012-04-30T00:00:00,497.0,26
2012-03-31T00:00:00,530.0,27
2012-02-29T00:00:00,389.0,28
2012-01-31T00:00:00,581.0,29
2011-12-31T00:00:00,532.0,30
2011-11-30T00:00:00,445.0,31
2011-10-31T00:00:00,641.0,32
2011-09-30T00:00:00,554.0,33
2011-08-31T00:00:00,636.0,34
2011-07-31T00:00:00,759.0,35
2011-06-30T00:00:00,397.0,36
2011-05-31T00:00:00,318.0,37
2011-04-30T00:00:00,316.0,38
2011-03-31T00:00:00,331.0,39
2011-02-28T00:00:00,274.0,40
2011-01-31T00:00:00,328.0,41
2010-12-31T00:00:00,305.0,42
2010-11-30T00:00:00,362.0,43
2010-10-31T00:00:00,471.0,44
2010-09-30T00:00:00,449.0,45
2010-08-31T00:00:00,528.0,46
2010-07-31T00:00:00,838.0,47
2010-06-30T00:00:00,379.0,48
2010-05-31T00:00:00,328.0,49
2010-04-30T00:00:00,295.0,50
2010-03-31T00:00:00,262.0,51
2010-02-28T00:00:00,186.0,52
2010-01-31T00:00:00,292.0,53
2009-12-31T00:00:00,292.0,54
2009-11-30T00:00:00,322.0,55
2009-10-31T00:00:00,321.0,56
2009-09-30T00:00:00,599.0,57
2009-08-31T00:00:00,499.0,58
2009-07-31T00:00:00,610.0,59
2009-06-30T00:00:00,387.0,60
2009-05-31T00:00:00,359.0,61
2009-04-30T00:00:00,317.0,62
2009-03-31T00:00:00,341.0,63
2009-02-28T00:00:00,395.0,64
2009-01-31T00:00:00,498.0,65
2008-12-31T00:00:00,350.0,66
2008-11-30T00:00:00,454.0,67
2008-10-31T00:00:00,532.0,68
2008-09-30T00:00:00,383.0,69
2008-08-31T00:00:00,504.0,70
2008-07-31T00:00:00,573.0,71
2008-06-30T00:00:00,476.0,72
2008-05-31T00:00:00,345.0,73
2008-04-30T00:00:00,443.0,74
2008-03-31T00:00:00,341.0,75
2008-02-29T00:00:00,371.0,76
2008-01-31T00:00:00,475.0,77
2007-12-31T00:00:00,361.0,78
2007-11-30T00:00:00,373.0,79
2007-10-31T00:00:00,446.0,80
2007-09-30T00:00:00,449.0,81
2007-08-31T00:00:00,470.0,82
2007-07-31T00:00:00,464.0,83
2007-06-30T00:00:00,422.0,84
2007-05-31T00:00:00,313.0,85
2007-04-30T00:00:00,322.0,86
2007-03-31T00:00:00,362.0,87
2007-02-28T00:00:00,265.0,88
2007-01-31T00:00:00,442.0,89
2006-12-31T00:00:00,387.0,90
2006-11-30T00:00:00,413.0,91
2006-10-31T00:00:00,398.0,92
2006-09-30T00:00:00,323.0,93
2006-08-31T00:00:00,427.0,94
2006-07-31T00:00:00,423.0,95
2006-06-30T00:00:00,338.0,96
2006-05-31T00:00:00,300.0,97
2006-04-30T00:00:00,322.0,98
2006-03-31T00:00:00,305.0,99
2006-02-28T00:00:00,232.0,100
